SKU *,Fixmer Reference,Full Name *,Brand *,Line,Vitola,Shape,Dimensions,Wrapper,Net Weight (g),Length (inches),Ring Gauge,Pack Type,Units/Pack,COGS,GTIN,EU CEG ID,Status *,Product Role *,Market Availability,Notes
e.g. NICLA6-MIN-B20,Fixmer article ref,Full product name,Brand name,Product line,Vitola name,"e.g. Round, Pointed, Figurado",e.g. 5.0 x 52,Wrapper type,Net weight per unit (g),Length in inches,Ring gauge,"e.g. Box, Bndl, Pack",Units per pack,Cost of goods sold,Barcode (GTIN),EU CEG registration ID,active / inactive,original / sample / foc,"e.g. EU, NO, CH",Internal notes
DH-ROB-P5,C01358,DH Cigar Sampler Robusto Pack5,DH Cigar Sampler,Clasico,Robusto Pack5,Round, x ,Misc.,14.74,,,Pack,5, 2.02 ,5404021001919,Pack of 5 elements,inactive,original,,
FUR-ALE-B10,C00592,Furia Alecto B10,Furia,Clasico,Alecto B10,Round,4.5 x 56,Hab. Equador,15.36,4.5,56,Box,10, 3.24 ,5404021001469,00903-17-03201,active,original,,
FUR-MEG-B10,C00591,Furia Megaera B10,Furia,Clasico,Megaera B10,Round,5.5 x 54,Hab. Equador,16.58,5.5,54,Box,10, 3.13 ,5404021001490,00903-17-03202,active,original,,
FURBL-INA-B10,C01271,Furia Reserva Inanna1 B10,Furia,Reserva,Inanna1 B10,Round,6 x 48,Hab.,14.9,6,48,Box,10, 3.17 ,5404021007904,00903-23-03001,active,original,,
FURBL-INA-S2-B10,C01364,Furia Reserva Inanna2 B10,Furia,Reserva,Inanna2 B10,Round,6 x 48,Hab.,14.9,6,48,Box,10, 5.02 ,5404021008413,00903-23-03001,active,original,,
FUR-TIS-B10,C00599,Furia Tisiphone B10,Furia,Clasico,Tisiphone B10,Round,6.5 x 58,Hab. Equador,22.6,6.5,58,Box,10, 3.53 ,5404021001520,00903-17-03203,active,original,,
LL-CAN-B21,C00608,La Ley Canonazo B21,La Ley,Clasico,Canonazo B21,Round,6.5 x 52,Hab. Rosado,18.27,6.5,52,Box,21, 3.20 ,5404021001292,00903-16-02103,active,original,,
LL-CAN-M21,C01822,La Ley Canonazo Bndl21,La Ley,Clasico,Canonazo Bndl21,Round,6.5 x 52,Hab. Rosado,18.27,6.5,52,Bndl,21, 2.92 ,5404021008079,00903-16-02103,active,original,,
LL-MAR-B21,C00298,La Ley Mareva B21,La Ley,Clasico,Mareva B21,Round,4 x 44,Hab. Rosado,8.69,4,44,Box,21, 2.62 ,5404021001216,00903-16-02101,active,original,,
LL-MAR-M21,C01750,La Ley Mareva Bndl21,La Ley,Clasico,Mareva Bndl21,Round,4 x 44,Hab. Rosado,8.69,4,44,Bndl,21, 2.33 ,5404021008055,00903-16-02101,active,original,,
LLRES-CG-B21,C01824,La Ley Reserva Corona Gorda B21,La Ley,Reserva,Corona Gorda B21,Round,5.5 x 46,F2,11.74,5.5,46,Box,21, 3.15 ,5404021008123,00903-17-02003,active,original,,
LLRES-EXQ-B21,C00830,La Ley Reserva Exquisito B21,La Ley,Reserva,Exquisito B21,Round,4.875 x 48,Hab. Oscuro,12.35,4.875,48,Box,21, 3.49 ,5404021008185,00903-17-02001,active,original,,
LLRES-LAG6-B21,C00843,La Ley Reserva Laguito 6 B21,La Ley,Reserva,Laguito 6 B21,Round,6.5 x 56,Hab. Oscuro,21.86,6.5,56,Box,21, 3.71 ,5404021008215,00903-17-02002,active,original,,
LL-ROB-B21,C00299,La Ley Robusto B21,La Ley,Clasico,Robusto B21,Round,5 x 54,Hab. Rosado,16.08,5,54,Box,21, 2.92 ,5404021001254,00903-16-02102,active,original,,
LL-ROB-M21,C01821,La Ley Robusto Bndl21,La Ley,Clasico,Robusto Bndl21,Round,5 x 54,Hab. Rosado,16.08,5,54,Bndl,21, 2.64 ,5404021008062,00903-16-02102,active,original,,
LL-MAR-M10,C01327,Mareva Bndl10,La Ley,Clasico,Mareva,Round,4 x 44,Hab. Rosado,8.69,4,44,Box,10, 2.33 ,5404021002909,00903-16-02101,active,original,,
LP-452-B16,C00845,La Preferida 452 B16,La Preferida,Clasico,452 B16,Round,4 x 52,Hab.,11.56,4,52,Box,16, 2.53 ,5404021001377,00903-17-04101,active,original,,
LP-452-M10,C01743,La Preferida 452 Bndl10,La Preferida,Clasico,452 Bndl10,Round,4 x 52,Hab.,11.56,4,52,Bndl,10, 2.18 ,5404021001384,00903-17-04101,active,original,,
LP-452-M16,C01742,La Preferida 452 Bndl16,La Preferida,Clasico,452 Bndl16,Round,4 x 52,Hab.,11.56,4,52,Bndl,16, 2.18 ,5404021007966,00903-17-04101,active,original,,
LP-552-B16,C00846,La Preferida 552 B16,La Preferida,Clasico,552 B16,Round,5 x 52,Hab.,14.29,5,52,Box,16, 2.68 ,5404021001407,00903-17-04102,active,original,,
LP-552-M10,C01740,La Preferida 552 Bndl10,La Preferida,Clasico,552 Bndl10,Round,5 x 52,Hab.,14.29,5,52,Bndl,10, 2.33 ,5404021001414,00903-17-04102,active,original,,
LP-552-M16,C01739,La Preferida 552 Bndl16,La Preferida,Clasico,552 Bndl16,Round,5 x 52,Hab.,14.29,5,52,Bndl,16, 2.33 ,5404021007973,00903-17-04102,active,original,,
LP-652-B16,C00998,La Preferida 652 B16,La Preferida,Clasico,652 B16,Round,6 x 52,Hab.,17.33,6,52,Box,16, 2.77 ,5404021001438,00903-19-04103,active,original,,
LP-652-M10,C01883,La Preferida 652 Bndl10,La Preferida,Clasico,652 Bndl10,Round,6 x 52,Hab.,17.33,6,52,Bndl,10, 2.42 ,5404021001445,00903-17-04103,active,original,,
LP-652-M16,C01738,La Preferida 652 Bndl16,La Preferida,Clasico,652 Bndl16,Round,6 x 52,Hab.,17.33,6,52,Bndl,16, 2.42 ,5404021007980,00903-17-04103,active,original,,
NICLA6-GOR-B20,C00672,Nicarao Clasico ANNO VI Gordito B20,Nicarao,Clasico Anno VI,Gordito B20,Round,4.125 x 50,Hab.,11.38,4.125,50,Box,20, 2.12 ,5404021000073,00903-16-01103,active,original,,
NICLA6-GOR-M20,C01737,Nicarao Clasico ANNO VI Gordito Bndl20,Nicarao,Clasico Anno VI,Gordito Bndl20,Round,4.125 x 50,Hab.,11.38,4.125,50,Bndl,20, 1.83 ,5404021000097,00903-16-01103,active,original,,
NICLA6-JUA-B20,C01736,Nicarao Clasico ANNO VI Juanito B20,Nicarao,Clasico Anno VI,Juanito B20,Pointed,4.5 x 46,Hab.,8.39,4.5,46,Box,20, 2.12 ,5404021000042,00903-19-01102,active,original,,
NICLA6-JUL-B20,C00669,Nicarao Clasico ANNO VI Julieta B20,Nicarao,Clasico Anno VI,Julieta B20,Round,7 x 50,Hab.,18.21,7,50,Box,20, 2.74 ,5404021000196,00903-16-01106,active,original,,
NICLA6-MIN-B20,C00154,Nicarao Clasico ANNO VI Minuto B20,Nicarao,Clasico Anno VI,Minuto B20,Round,5 x 42,Hab.,9.18,5,42,Box,20, 1.97 ,5404021000011,00903-16-01101,active,original,,
NICLA6-MIN-M20,C01733,Nicarao Clasico ANNO VI Minuto Bndl20,Nicarao,Clasico Anno VI,Minuto Bndl20,Round,5 x 42,Hab.,9.18,5,42,Bndl,20, 1.68 ,5404021000035,00903-16-01101,active,original,,
NICLA6-PIR-B20,C00157,Nicarao Clasico ANNO VI Piramide B20,Nicarao,Clasico Anno VI,Piramide B20,Pointed,6 x 52,Hab.,14.9,6,52,Box,20, 2.46 ,5404021000165,00903-16-01105,active,original,,
NICLA6-ROB-B20,C00156,Nicarao Clasico ANNO VI Robusto B20,Nicarao,Clasico Anno VI,Robusto B20,Round,5 x 52,Hab.,14.29,5,52,Box,20, 2.32 ,5404021000134,00903-16-01104,active,original,,
NICLA6-ROB-M10,C01186,Nicarao Clasico ANNO VI Robusto Bndl10,Nicarao,Clasico Anno VI,Robusto Bndl10,Round,5 x 52,Hab.,14.29,5,52,Bndl,10, 2.03 ,5404021002756,00903-16-01104,active,original,,
NIES-GOR-B21,C00670,Nicarao Especial Gordo B21,Nicarao,Especial,Gordo B21,Round,5 x 56,Hab.,16.81,5,56,Box,21, 2.38 ,5404021000349,00903-16-01204,active,original,,
NIES-GOR-M10,C01882,Nicarao Especial Gordo Bndl10,Nicarao,Especial,Gordo Bndl10,Round,5 x 56,Hab.,16.81,5,56,Bndl,10, 2.09 ,5404021002817,00903-16-01204,active,original,,
NIES-HER-B21,C00886,Nicarao Especial Hermoso B21,Nicarao,Especial,Hermoso B21,Round,5.5 x 48,Hab.,13.59,5.5,48,Box,21, 2.14 ,5404021000226,00903-16-01201,active,original,,
NIES-PTSAL-B21,C01724,Nicarao Especial Petit Salomon B21,Nicarao,Especial,Petit Salomon B21,Figurado,5 x 54,Hab.,12.9,5,54,Box,21, 2.68 ,5404021000301,00903-16-01203,active,original,,
NIES-TORI-B21,C00215,Nicarao Especial Torito B21,Nicarao,Especial,Torito B21,Round,4.5 x 54,Hab.,14.07,4.5,54,Box,21, 2.20 ,5404021000264,00903-16-01202,active,original,,
NIES-TORI-M10,C01299,Nicarao Especial Torito Bndl10,Nicarao,Especial,Torito Bndl10,Round,4.5 x 54,Hab.,14.07,4.5,54,Bndl,10, 1.91 ,5404021002794,00903-16-01202,active,original,,
NIES-TORO-B21,C00159,Nicarao Especial Toro B21,Nicarao,Especial,Toro B21,Round,6 x 52,Hab.,17.4,6,52,Box,21, 2.41 ,5404021000387,00903-16-01205,active,original,,
NIES-TORO-M10,C01719,Nicarao Especial Toro Bndl10,Nicarao,Especial,Toro Bndl10,Round,6 x 52,Hab.,17.4,6,52,Bndl,10, 2.12 ,5404021002824,00903-16-01205,active,original,,
NIES-TODO-B21,C00217,Nicarao Especial Toro Doble B21,Nicarao,Especial,Toro Doble B21,Round,5.5 x 58,Hab.,19.84,5.5,58,Box,21, 2.68 ,5404021000424,00903-16-01206,active,original,,
NIES-TODO-M10,C01722,Nicarao Especial Toro Doble Bndl10,Nicarao,Especial,Toro Doble Bndl10,Round,5.5 x 58,Hab.,19.84,5.5,58,Bndl,10, 2.39 ,5404021002831,00903-16-01206,active,original,,
NIEX-DIA-B20,C01064,Nicarao Exclusivo Diadema B20,Nicarao,Exclusivo,Diadema B20,Figurado,9.2 x 55,Maduro,23.89,9.2,55,Box,20, 6.72 ,5404021000882,00903-16-01308,active,original,,
NIEX-DONR-B20,C00575,Nicarao Exclusivo Don Rafa B20,Nicarao,Exclusivo,Don Rafa B20,Round,7 x 54,Maduro,20,7,54,Box,20, 3.72 ,5404021000769,00903-16-01304,active,original,,
NIEX-E4-B20,C00887,Nicarao Exclusivo E4 B20,Nicarao,Exclusivo,E4 B20,Round,5 x 50,Maduro,12.25,5,50,Box,20, 2.86 ,5404021000684,00903-16-01302,active,original,,
NIEX-ROBEX-B20,C00201,Nicarao Exclusivo Robusto Extra B20,Nicarao,Exclusivo,Robusto Extra B20,Round,5.5 x 58,Maduro,18.6,5.5,58,Box,20, 3.49 ,5404021000721,00903-16-01303,active,original,,
NIEX-ROD-B20,C01709,Nicarao Exclusivo Rodolfo B20,Nicarao,Exclusivo,Rodolfo B20,Pointed,7 x 54,Maduro,19.8,7,54,Box,20, 3.83 ,5404021000806,00903-16-01305,active,original,,
NIEX-ROM-B20,C01707,Nicarao Exclusivo Romeo B20,Nicarao,Exclusivo,Romeo B20,Figurado,5 x 54,Maduro,11.74,5,54,Box,20, 3.49 ,5404021000646,00903-16-01301,active,original,,
NIEX-SAL-B20,C01705,Nicarao Exclusivo Salomon B20,Nicarao,Exclusivo,Salomon B20,Figurado,7.125 x 58,Maduro,21.06,7.125,58,Box,20, 6.16 ,5404021000844,00903-16-01306,active,original,,
NIESRES-ROB-B21,C00844,Nicarao Reserva Especial Robusto B21,Nicarao,Reserva,Especial Robusto B21,Round,5 x 52,Hab.,14.29,5,52,Box,21, 3.01 ,5404021008154,00903-17-01006,active,original,,
NIEXRES-LAN-B21,C00158,Nicarao Reserva Exclusivo Lancero B21,Nicarao,Reserva,Exclusivo Lancero B21,Round,7 x 40,Rosada Oscuro,11.23,7,40,Box,21, 3.16 ,5404021008093,00903-24-01007,active,original,,
NIESRES-ROB-B21-R2016-AG19,C01881,Nicarao Reserva Especial 2016 Robusto Box 21,Nicarao,Reserva,Robusto R2016 B21,Round,5 x 52,Hab.,14.29,5,52,Box,21, 3.01 ,5404021008154,00903-17-01006,active,aged,,
NIR2016-ESROB-M10-R2016-AG19,C01701,Nicarao Reserva Especial 2016 Robusto Bundle 10,Nicarao,Reserva,Robusto R2016 Bndl 10,Round,5 x 52,Hab.,14.29,5,52,Bundle,10, 2.72 ,5404021007676,00903-17-01006,active,aged,,
NIR2015-ESROB-M10-R2015-AG15,C01703,Nicarao Reserva Especial 2015 Robusto Bundle 10,Nicarao,Reserva,Robusto R2015 Bndl 10,Round,5 x 52,Hab.,14.29,5,52,Bundle,10, 2.10 ,5404021001865,00903-17-01006,active,aged,,
NIR2015-ESROB-B21-R2015-AG18,C01704,Nicarao Reserva Especial 2015 Robusto Box 21,Nicarao,Reserva,Robusto R2015 B21,Round,5 x 52,Hab.,14.29,5,52,Box,21, 2.39 ,5404021001858,00903-17-01006,active,aged,,
NIR2014-EXSER-DIS8-R2014-AG14,C01791,Nicarao Reserva Series Extra R2014 Display 8,Nicarao,Reserva,Extra R2014 Disp8,Round, x ,Misc.,,,,Pack,8, 3.39 ,5404021001193,00903-16-01004,active,aged,,
NIR2014-ROBSER-DIS12-R2014-AG14,C01789,Nicarao Reserva Series Robusto R2014 Display 12,Nicarao,Reserva,Robusto R2014 Disp12,Round,5 x 52,Hab.,14.29,5,52,Pack,12, 2.58 ,5404021001209,00903-16-01005,active,aged,,
NIR2014-ROBEX-CE9-R2014-AG14,C01790,Nicarao Reserva Series Robusto R2014 Cajita 9,Nicarao,Reserva,Robusto R2014 Caj9,Round,5 x 52,Hab.,14.29,5,52,Pack,9, 4.88 ,5404021001162,00903-16-01001,active,aged,,
NIEX-SAL-B20-AG19,C01880,Nicarao Exclusivo Salomon Box 20,Nicarao,Exclusivo,Salomon B20,Figurado,7.125 x 58,Maduro,21.06,7.125,58,Box,20, 6.16 ,5404021000844,00903-16-01306,active,aged,,
NIEX-ROM-BP50-AG16,C01879,Nicarao Exclusivo Romeo Box 50,Nicarao,Exclusivo,Romeo B50,Figurado,5 x 54,Maduro,11.74,5,54,Box,50, 3.30 ,5404021000677,00903-16-01301,active,aged,,
NIEX-ROM-BP50-AG13,C01879,Nicarao Exclusivo Romeo Box 50,Nicarao,Exclusivo,Romeo B50,Figurado,5 x 54,Maduro,11.74,5,54,Box,50, 3.30 ,5404021000677,00903-16-01301,active,aged,,
NIEX-ROM-B20-AG13,C01876,Nicarao Exclusivo Romeo Box 20,Nicarao,Exclusivo,Romeo B20,Figurado,5 x 54,Maduro,11.74,5,54,Box,20, 3.49 ,5404021000646,00903-16-01301,active,aged,,
NIEX-ROM-B20-AG16,C01876,Nicarao Exclusivo Romeo Box 20,Nicarao,Exclusivo,Romeo B20,Figurado,5 x 54,Maduro,11.74,5,54,Box,20, 3.49 ,5404021000646,00903-16-01301,active,aged,,
NIEX-ROM-B20-AG18,C01876,Nicarao Exclusivo Romeo Box 20,Nicarao,Exclusivo,Romeo B20,Figurado,5 x 54,Maduro,11.74,5,54,Box,20, 3.49 ,5404021000646,00903-16-01301,active,aged,,
NIEX-ROM-B20-AG18,C01876,Nicarao Exclusivo Romeo Box 20,Nicarao,Exclusivo,Romeo B20,Figurado,5 x 54,Maduro,11.74,5,54,Box,20, 3.49 ,5404021000646,00903-16-01301,active,aged,,
NIEX-ROD-B20-AG19,C01875,Nicarao Exclusivo Rodolfo Box 20,Nicarao,Exclusivo,Rodolfo B20,Pointed,7 x 54,Maduro,19.8,7,54,Box,20, 3.83 ,5404021000806,00903-16-01305,active,aged,,
NIEX-ROD-BP50-AG13,C01708,Nicarao Exclusivo Rodolfo Box 50,Nicarao,Exclusivo,Rodolfo B50,Pointed,7 x 54,Maduro,19.8,7,54,Box,50, 3.64 ,5404021000837,00903-16-01305,active,aged,,
NIEX-DONR-B10-AG16,C01716,Nicarao Exclusivo Don Rafa Box 10,Nicarao,Exclusivo,Don Rafa B10,Round,7 x 54,Maduro,20,7,54,Box,10, 4.04 ,5404021000776,00903-16-01304,active,aged,,
NIEX-DONR-B20-AG19,C01871,Nicarao Exclusivo Don Rafa Box 20,Nicarao,Exclusivo,Don Rafa B20,Round,7 x 54,Maduro,20,7,54,Box,20, 3.72 ,5404021000769,00903-16-01304,active,aged,,
NIEX-ROBEX-BP50-AG16,C01711,Nicarao Exclusivo Robusto Extra Box 50,Nicarao,Exclusivo,Robusto Extra B50,Round,5.5 x 58,Maduro,18.6,5.5,58,Box,50, 3.30 ,5404021000752,00903-16-01303,active,aged,,
NIEX-E4-BP50-AG16,C01713,Nicarao Exclusivo E4 Box 50,Nicarao,Exclusivo,E4 B50,Round,5 x 50,Maduro,12.25,5,50,Box,50, 2.66 ,5404021000714,00903-16-01302,active,aged,,
NIEX-E4-B20-AG18,C01872,Nicarao Exclusivo E4 Box 20,Nicarao,Exclusivo,E4 B20,Round,5 x 50,Maduro,12.25,5,50,Box,20, 2.86 ,5404021000684,00903-16-01302,active,aged,,
NIEX-E4-B20-AG19,C01872,Nicarao Exclusivo E4 Box 20,Nicarao,Exclusivo,E4 B20,Round,5 x 50,Maduro,12.25,5,50,Box,20, 2.86 ,5404021000684,00903-16-01302,active,aged,,
NIEX-E4-B10-AG16,C01714,Nicarao Exclusivo E4 Box 10,Nicarao,Exclusivo,E4 B10,Round,5 x 50,Maduro,12.25,5,50,Box,10, 3.18 ,5404021000691,00903-16-01302,active,aged,,
NIEX-E4-M20-AG17,C01712,Nicarao Exclusivo E4 Bundle 20,Nicarao,Exclusivo,E4 Bndl20,Round,5 x 50,Maduro,12.25,5,50,Bndl,20, 2.56 ,5404021000707,00903-16-01302,active,aged,,
NIEX-ROBEX-M20-AG16,C01710,Nicarao Exclusivo Robusto Extra Bundle 20,Nicarao,Exclusivo,Robusto Extra Bndl20,Round,5.5 x 58,Maduro,18.6,5.5,58,Bndl,20, 3.49 ,5404021000745,00903-16-01303,active,aged,,
